"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","test_create_user_invalid_email[starts_with_dot]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","9","test_create_user_invalid_email[equals_in_domain]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","9","test_create_user_invalid_email[domain_too_long]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","297","test_update_user_valid_current_password[long_50_character_password]","tests.API.User","Mon Sep 01 15:00:28 UTC 2025","passed","Mon Sep 01 15:00:28 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","113","test_create_user[Standard user_data]","tests.API.User","Mon Sep 01 15:00:06 UTC 2025","passed","Mon Sep 01 15:00:06 UTC 2025","TestCreateUserPositive","test_create_user","",""
"","298","test_update_user_valid_current_password[mixed_case_with_numbers]","tests.API.User","Mon Sep 01 15:00:27 UTC 2025","passed","Mon Sep 01 15:00:27 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","13","test_update_user_invalid_username[exclamation_in_username]","tests.API.User","Mon Sep 01 15:00:29 UTC 2025","passed","Mon Sep 01 15:00:29 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","9","test_login_user_invalid_email[hash_in_domain]","tests.API.User","Mon Sep 01 15:00:10 UTC 2025","passed","Mon Sep 01 15:00:10 UTC 2025","TestLoginUserInvalidValidation","test_login_user","",""
"","9","test_expired_access_token[api_client_wallet-<lambda>0]","tests.Middleware","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestMiddlewareNegative","test_user_wallet_subscription_auth_middleware","",""
"","9","test_request_after_modify_token[api_client_user-<lambda>1]","tests.Middleware","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestMiddlewareNegative","test_user_wallet_subscription_auth_middleware","",""
"","301","test_update_user_valid_new_password[long_50_character_password]","tests.API.User","Mon Sep 01 15:00:25 UTC 2025","passed","Mon Sep 01 15:00:25 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","29","test_get_user_wallet_after_user_delete_in_db","tests.API.Wallet","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestGetUserWalletNegative","test_get_wallet","",""
"","12","test_create_user_invalid_username[dollar_symbol_in_username]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","28","test_login_user_valid_password[password_with_space]","tests.API.User","Mon Sep 01 15:00:10 UTC 2025","passed","Mon Sep 01 15:00:10 UTC 2025","TestLoginUserValidValidation","test_login_user","",""
"","10","test_create_user_invalid_username[exclamation_in_username]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","21","test_create_user_valid_email[valid_dot_in_local]","tests.API.User","Mon Sep 01 15:00:06 UTC 2025","passed","Mon Sep 01 15:00:06 UTC 2025","TestCreateUserValidValidation","test_create_user","",""
"","37","test_upload_avatar_after_delete_user_in_db","tests.API.User","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestUploadAvatarNegative","test_upload_avatar_user","",""
"","9","test_create_user_invalid_username[starts_with_dash]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","14","test_update_user_invalid_username[starts_with_dash]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","10","test_create_user_invalid_username[forward_slash_in_username]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","26","test_login_user_valid_email[maximum_domain_length]","tests.API.User","Mon Sep 01 15:00:09 UTC 2025","passed","Mon Sep 01 15:00:09 UTC 2025","TestLoginUserValidValidation","test_login_user","",""
"","26","test_login_user_valid_password[minimum_8_letters]","tests.API.User","Mon Sep 01 15:00:09 UTC 2025","passed","Mon Sep 01 15:00:09 UTC 2025","TestLoginUserValidValidation","test_login_user","",""
"","31","test_get_user_data_after_user_delete_in_db","tests.API.User","Mon Sep 01 15:00:09 UTC 2025","passed","Mon Sep 01 15:00:09 UTC 2025","TestGetUserDataNegative","test_get_user_data","",""
"","14","test_request_after_modify_token[api_client_user-<lambda>3]","tests.Middleware","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestMiddlewareNegative","test_user_wallet_subscription_auth_middleware","",""
"","10","test_create_user_invalid_username[ends_with_underscore]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","20","test_create_user_valid_email[maximum_domain_length]","tests.API.User","Mon Sep 01 15:00:06 UTC 2025","passed","Mon Sep 01 15:00:06 UTC 2025","TestCreateUserValidValidation","test_create_user","",""
"","11","test_update_user_invalid_email[starts_with_dot]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","10","test_create_user_invalid_passwords[maximum_password_lenght]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","10","test_create_user_invalid_email[Bool in the email0]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","24","test_get_tokens_after_user_token_delete_in_redis","tests.API.User","Mon Sep 01 15:00:11 UTC 2025","passed","Mon Sep 01 15:00:11 UTC 2025","TestRefreshTokenNegative","test_refresh_token_user","",""
"","299","test_update_user_valid_current_password[password_with_dollar_symbol]","tests.API.User","Mon Sep 01 15:00:27 UTC 2025","passed","Mon Sep 01 15:00:28 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","10","test_wallet_deposit_invalid_amount[False-422]","tests.API.Wallet","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestWalletDepositInvalidValidation","test_wallet_deposit","",""
"","26","test_login_user_valid_email[valid_underscore_in_local]","tests.API.User","Mon Sep 01 15:00:09 UTC 2025","passed","Mon Sep 01 15:00:09 UTC 2025","TestLoginUserValidValidation","test_login_user","",""
"","13","test_update_user_invalid_username[semicolon_in_username]","tests.API.User","Mon Sep 01 15:00:29 UTC 2025","passed","Mon Sep 01 15:00:29 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","551","test_update_user_valid_email[valid_subdomain]","tests.API.User","Mon Sep 01 15:00:21 UTC 2025","passed","Mon Sep 01 15:00:22 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","11","test_create_user_invalid_notifications_fields[push-10-422-number_in_email_notification]","tests.API.User","Mon Sep 01 15:00:08 UTC 2025","passed","Mon Sep 01 15:00:08 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","10","test_update_user_invalid_username[xss_script_username]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","24","test_wallet_deposit_invalid_amount[9.99-422]","tests.API.Wallet","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestWalletDepositInvalidValidation","test_wallet_deposit","",""
"","41","test_wallet_deposit_positive","tests.API.Wallet","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestWalletDepositPositive","test_wallet_deposit","",""
"","12","test_upload_invalid_avatar_extension[bin]","tests.API.User","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestUploadAvatarNegative","test_upload_avatar_user","",""
"","9","test_create_user_invalid_passwords[Spaces in the password]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","550","test_update_user_valid_username[complex_valid_username]","tests.API.User","Mon Sep 01 15:00:16 UTC 2025","passed","Mon Sep 01 15:00:17 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","11","test_update_user_invalid_email[percent_in_domain]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","26","test_login_user_valid_password[password_with_dollar_symbol]","tests.API.User","Mon Sep 01 15:00:09 UTC 2025","passed","Mon Sep 01 15:00:09 UTC 2025","TestLoginUserValidValidation","test_login_user","",""
"","11","test_login_user_invalid_email[asterisk_in_domain]","tests.API.User","Mon Sep 01 15:00:10 UTC 2025","passed","Mon Sep 01 15:00:10 UTC 2025","TestLoginUserInvalidValidation","test_login_user","",""
"","9","test_login_user_invalid_password[maximum_password_length]","tests.API.User","Mon Sep 01 15:00:10 UTC 2025","passed","Mon Sep 01 15:00:10 UTC 2025","TestLoginUserInvalidValidation","test_login_user","",""
"","9","test_create_user_invalid_username[ampersand_in_username]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","12","test_upload_invalid_avatar_extension[exe]","tests.API.User","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestUploadAvatarNegative","test_upload_avatar_user","",""
"","296","test_update_user_valid_current_password[minimum_8_digits]","tests.API.User","Mon Sep 01 15:00:26 UTC 2025","passed","Mon Sep 01 15:00:26 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","10","test_update_user_invalid_username[Bool in the username0]","tests.API.User","Mon Sep 01 15:00:29 UTC 2025","passed","Mon Sep 01 15:00:29 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","19","test_create_user_valid_passwords[mixed_case_with_numbers]","tests.API.User","Mon Sep 01 15:00:06 UTC 2025","passed","Mon Sep 01 15:00:06 UTC 2025","TestCreateUserValidValidation","test_create_user","",""
"","10","test_create_user_invalid_username[comma_in_username]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","13","test_update_user_invalid_username[at_symbol_in_username]","tests.API.User","Mon Sep 01 15:00:29 UTC 2025","passed","Mon Sep 01 15:00:29 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","11","test_update_user_invalid_username[question_mark_in_username]","tests.API.User","Mon Sep 01 15:00:29 UTC 2025","passed","Mon Sep 01 15:00:29 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","10","test_wallet_deposit_invalid_amount[10.000001-422]","tests.API.Wallet","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestWalletDepositInvalidValidation","test_wallet_deposit","",""
"","12","test_create_user_invalid_username[backslash_in_username]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
